op,datasets,case_run_count,case_variant_count,cpu_mean_ms_avg,npu_mean_ms_avg,speedup_avg,speedup_median,speedup_min,speedup_max,cpu_gflops_or_equiv_avg,npu_gflops_or_equiv_avg,precision_pass_runs,precision_fail_runs,max_abs_err_max,mean_abs_err_avg,cosine_similarity_min
add,real_npu_extended,2,2,0.669689,0.047662,13.149,13.149,7.173,19.124,3.805,51.185,2,0,0.000000000,0.000000000,1.000000017
avgpool2d,real_npu_extended,2,2,4.329881,0.198844,21.897,21.897,19.343,24.451,0.686,13.449,2,0,0.000000000,0.000000000,1.000000031
bmm,real_npu_extended,2,2,0.564451,0.094739,7.981,7.981,1.840,14.121,147.194,1189.530,2,0,0.000053406,0.000002683,0.999999954
conv2d,real_npu_extended,2,2,13.114698,0.062686,203.089,203.089,82.468,323.710,0.930,1149.896,2,0,0.009488106,0.000971284,0.999999907
div,real_npu_extended,2,2,0.666134,0.048543,13.506,13.506,4.982,22.031,4.137,53.215,2,0,0.000244141,0.000000021,0.999999942
embedding,real_npu_extended,2,2,1.298948,0.058866,21.654,21.654,11.530,31.778,1.882,43.517,2,0,0.000000000,0.000000000,0.999999977
gelu,real_npu_extended,2,2,40.823925,0.049981,829.039,829.039,324.988,1333.090,0.510,425.960,2,0,0.000000477,0.000000020,0.999999950
layernorm,real_npu_extended,2,2,11.279231,0.127042,77.802,77.802,39.523,116.081,3.525,274.686,2,0,0.000000954,0.000000034,1.000000035
matmul,real_npu_extended,3,3,1.255562,0.070928,15.526,13.897,1.686,30.995,468.220,9455.599,3,0,0.000137329,0.000006655,0.999999914
max,real_npu_extended,2,2,0.300675,0.076916,3.724,3.724,1.788,5.659,8.612,32.420,2,0,0.000000000,0.000000000,0.999999977
maxpool2d,real_npu_extended,2,2,4.177348,0.129374,34.543,34.543,25.238,43.849,0.684,17.982,2,0,0.000000000,0.000000000,1.000000025
mean,real_npu_extended,2,2,0.684214,0.065367,9.646,9.646,5.567,13.725,3.750,36.748,2,0,0.000000022,0.000000003,1.000000004
mul,real_npu_extended,2,2,0.908806,0.044987,19.250,19.250,6.742,31.758,3.235,55.935,2,0,0.000000000,0.000000000,0.999999959
relu,real_npu_extended,2,2,1.292751,0.041202,31.793,31.793,12.246,51.340,2.030,64.467,2,0,0.000000000,0.000000000,1.000000021
rmsnorm,real_npu_extended,2,2,4.823217,0.117268,39.612,39.612,14.751,64.474,6.042,245.109,2,0,0.000000954,0.000000023,0.999999919
sdpa,real_npu_extended,2,2,10.474680,0.126520,73.610,73.610,18.528,128.692,22.720,1977.699,2,0,0.000001073,0.000000036,0.999999898
silu,real_npu_extended,2,2,11.394455,0.049833,211.132,211.132,119.583,302.681,1.128,241.671,2,0,0.000000477,0.000000003,0.999999992
softmax,real_npu_extended,2,2,1.456897,0.057465,27.290,27.290,9.664,44.917,1.102,30.764,2,0,0.000000001,0.000000000,1.000000011
sub,real_npu_extended,2,2,0.618144,0.046655,12.977,12.977,5.199,20.754,4.332,55.073,2,0,0.000000000,0.000000000,0.999999947
sum,real_npu_extended,2,2,0.782627,0.069956,11.058,11.058,7.102,15.014,3.024,36.776,2,0,0.000022888,0.000003997,0.999999982
transpose_contiguous,real_npu_extended,2,2,5.878202,0.085884,68.649,68.649,39.323,97.975,0.559,36.715,2,0,0.000000000,0.000000000,1.000000006
where_mask,real_npu_extended,2,2,2.350713,0.058638,36.344,36.344,21.014,51.674,3.358,121.723,2,0,0.000000000,0.000000000,1.000000026
