op,run_count,allclose_pass,allclose_fail,max_abs_err_max,mean_abs_err_avg,cosine_similarity_min,thresholds_observed
add,2,2,0,0.000000000,0.000000000,1.000000017,"atol=see_json,rtol=see_json"
avgpool2d,2,2,0,0.000000000,0.000000000,1.000000031,"atol=see_json,rtol=see_json"
bmm,2,2,0,0.000053406,0.000002683,0.999999954,"atol=see_json,rtol=see_json"
conv2d,2,2,0,0.009488106,0.000971284,0.999999907,"atol=see_json,rtol=see_json"
div,2,2,0,0.000244141,0.000000021,0.999999942,"atol=see_json,rtol=see_json"
embedding,2,2,0,0.000000000,0.000000000,0.999999977,"atol=see_json,rtol=see_json"
gelu,2,2,0,0.000000477,0.000000020,0.999999950,"atol=see_json,rtol=see_json"
layernorm,2,2,0,0.000000954,0.000000034,1.000000035,"atol=see_json,rtol=see_json"
matmul,3,3,0,0.000137329,0.000006655,0.999999914,"atol=see_json,rtol=see_json"
max,2,2,0,0.000000000,0.000000000,0.999999977,"atol=see_json,rtol=see_json"
maxpool2d,2,2,0,0.000000000,0.000000000,1.000000025,"atol=see_json,rtol=see_json"
mean,2,2,0,0.000000022,0.000000003,1.000000004,"atol=see_json,rtol=see_json"
mul,2,2,0,0.000000000,0.000000000,0.999999959,"atol=see_json,rtol=see_json"
relu,2,2,0,0.000000000,0.000000000,1.000000021,"atol=see_json,rtol=see_json"
rmsnorm,2,2,0,0.000000954,0.000000023,0.999999919,"atol=see_json,rtol=see_json"
sdpa,2,2,0,0.000001073,0.000000036,0.999999898,"atol=see_json,rtol=see_json"
silu,2,2,0,0.000000477,0.000000003,0.999999992,"atol=see_json,rtol=see_json"
softmax,2,2,0,0.000000001,0.000000000,1.000000011,"atol=see_json,rtol=see_json"
sub,2,2,0,0.000000000,0.000000000,0.999999947,"atol=see_json,rtol=see_json"
sum,2,2,0,0.000022888,0.000003997,0.999999982,"atol=see_json,rtol=see_json"
transpose_contiguous,2,2,0,0.000000000,0.000000000,1.000000006,"atol=see_json,rtol=see_json"
where_mask,2,2,0,0.000000000,0.000000000,1.000000026,"atol=see_json,rtol=see_json"
